Platform,Vendor,Product Name,Volume (mL),Current ($SGD),Previous ($SGD),Change ($SGD),Reviews,Sold,Stock,Product URL,Last Checked,Last Change
shopee,91799978,Tiger Lager Beer Can 320ml,320,43.8,44.8,-1.00,28748,95942,172,https://shopee.sg/--i.91799978.6503358776,17-JUN-2022 06:06,28-MAY-2022 06:05
shopee,91799978,Heineken Lager Beer Can 320ml,320,59.9,61.95,-2.05,5634,15402,1041,https://shopee.sg/--i.91799978.6602805329,31-MAY-2022 06:05,27-MAY-2022 06:05
shopee,91799978,Carlsberg Smooth Draught Beer 320ml Can,320,46.9,50.95,-4.05,5241,13816,1699,https://shopee.sg/--i.91799978.6438381229,29-MAY-2022 06:05,29-APR-2022 06:04
shopee,91799978,Kronenbourg 1664 Blanc Wheat Beer 320ml Can,320,64.9,67.9,-3.00,4393,10807,702,https://shopee.sg/--i.91799978.3902874397,17-JUN-2022 06:06,09-JUN-2022 06:06
shopee,91799978,Asahi Super Dry Beer 350ml Can,350,70.9,87.2,-16.30,2233,6127,354,https://shopee.sg/--i.91799978.3202940988,17-JUN-2022 06:06,12-JUN-2022 06:06
shopee,91799978,Sapporo Premium Draft Beer Can 330ml,330,59,61.9,-2.90,1087,2750,33,https://shopee.sg/--i.91799978.2727236101,17-JUN-2022 06:06,21-APR-2022 06:04
qoo10,Carlsberg Beer Official Store,Asahi Super Dry Beer Can 350ml,350,73.9,74.9,-1.00,925,402,,https://www.qoo10.sg/item/ASAHI-SUPER-DRY-BEER-CAN-350ML-PACK-OF-24/644448621,17-JUN-2022 06:06,02-MAY-2022 06:05
lazada,RedMart,Asahi Super Dry Beer 350ml 24s Can,350,70.5,70.9,-0.40,632,,,https://www.lazada.sg/products/-i301142965-s1000008313.html,17-JUN-2022 06:06,15-JUN-2022 06:06
shopee,91799978,Guinness Draught Can 440ml,440,69.9,,,594,1251,28,https://shopee.sg/--i.91799978.3202961235,17-JUN-2022 06:06,
shopee,91799978,Kronenbourg 1664 Blanc Wheat Beer 320ml Can with Amazin Grace,320,64.9,77.4,-12.50,372,951,283,https://shopee.sg/--i.91799978.14530751698,17-JUN-2022 06:06,07-MAY-2022 06:05
shopee,91799978,Kronenbourg 1664 Lager Beer 330ml Can,330,52.38,,,327,770,157,https://shopee.sg/--i.91799978.3902875585,17-JUN-2022 06:06,
shopee,91799978,Asahi Super Dry Beer 135ml Can,135,35.9,36.9,-1.00,277,814,124,https://shopee.sg/--i.91799978.13601668729,17-JUN-2022 06:06,08-JUN-2022 06:06
shopee,280687244,Asahi Super Dry Beer Pint 24 x 330ml,330,67.99,64.99,3.00,259,799,58,https://shopee.sg/--i.280687244.7854679663,17-JUN-2022 06:06,06-JUN-2022 06:06
qoo10,Carlsberg Beer Official Store,Asahi Super Dry Black Beer Can 350ml,350,91.2,77.52,13.68,259,158,,https://www.qoo10.sg/item/ASAHI-SUPER-DRY-BLACK-BEER-CAN-350ML-PACK-OF-24/644448991,29-APR-2022 06:04,20-APR-2022 20:04
qoo10,Carlsberg Beer Official Store,Asahi Super Dry Beer Pint Bottle 330ml,330,67.9,67.87,0.03,241,309,,https://www.qoo10.sg/item/ASAHI-SUPER-DRY-BEER-PINT-BOTTLE-330ML-PACK-OF-24/679296807,17-JUN-2022 06:06,20-APR-2022 20:04
shopee,70701058,Asahi Super Dry Mini 24x135ml,135,42,40,2.00,230,609,15,https://shopee.sg/--i.70701058.3443391899,17-JUN-2022 06:06,30-APR-2022 06:04
shopee,269785619,ASAHI SUPER DRY 24 Bottles x 330 ML,330,64.9,61.9,3.00,198,831,32,https://shopee.sg/--i.269785619.7842771419,08-JUN-2022 06:06,03-FEB-2022 06:02
shopee,167193612,Asahi Super Dry Black Beer 24x350ml Can,350,77.52,76.8,0.72,183,500,1,https://shopee.sg/--i.167193612.2612017104,28-APR-2022 15:04,26-FEB-2022 06:02
shopee,255772543,Asahi Super Dry Mini Can 24x135ml,135,42,37.5,4.50,161,397,362,https://shopee.sg/--i.255772543.7537186682,17-JUN-2022 06:06,10-JUN-2022 06:06
shopee,280687244,Asahi Dry Black Beer 24 x 334ml,334,82.99,81.99,1.00,154,425,4,https://shopee.sg/--i.280687244.9661173046,12-MAY-2022 06:05,02-MAY-2022 06:05
lazada,Kingsman Wine & Spirits Pte Ltd,Asahi Super Dry Pint 24 Bottles x 330ml,330,65.99,63.9,2.09,144,,,https://www.lazada.sg/products/-i744532978-s1000007242.html,17-JUN-2022 06:06,18-MAY-2022 06:05
lazada,Empire Singapore,ASAHI SUPER DRY 24 Bottles x 330 ML,330,66.9,61.9,5.00,132,,,https://www.lazada.sg/products/-i803458090-s1136349303.html,17-JUN-2022 06:06,13-JUN-2022 06:06
shopee,60431863,Asahi Super Dry MINI CANS 24 x 135 ml,135,39,39.5,-0.50,100,329,52,https://shopee.sg/--i.60431863.1016668598,17-JUN-2022 06:06,16-MAY-2021 15:05
lazada,Kingsman Wine & Spirits Pte Ltd,Asahi Dry BLACK Pint 24 Bottles x 334ml,334,80.99,79.99,1.00,95,,,https://www.lazada.sg/products/-i744592565-s1000007242.html,17-JUN-2022 06:06,18-MAY-2022 06:05
shopee,255772543,Asahi Super Dry 330ml x 24 bottles,330,70,68,2.00,93,217,47,https://shopee.sg/--i.255772543.5137324014,17-JUN-2022 06:06,19-AUG-2021 06:08
qoo10,Carlsberg Beer Official Store,Asahi Super Dry Black Beer Pint Bottle 334ml Expiry Aug 2022,334,120,,,90,70,,https://www.qoo10.sg/item/ASAHI-SUPER-DRY-BLACK-BEER-PINT-BOTTLE-334ML-PACK-OF-24-EXPIRY/677782161,04-MAY-2022 06:05,
lazada,Empire Singapore,ASAHI BLACK 24 Bottles x 334 ML,334,76.9,79.9,-3.00,81,,,https://www.lazada.sg/products/-i804586182-s1136349303.html,15-JUN-2022 06:06,08-MAR-2022 15:03
lazada,Oakandbarrel.com.sg,Asahi Super Dry MINI Cans 24 x 135 ml,135,39,38.81,0.19,66,,,https://www.lazada.sg/products/-i393784-s1809.html,17-JUN-2022 06:06,12-DEC-2021 06:12
lazada,Carlsberg Beer Official Store,Asahi Super Dry Black Beer 24x350ml Can,350,77.52,76.8,0.72,63,,,https://www.lazada.sg/products/-i324860950-s1000030642.html,18-MAY-2022 06:05,16-MAR-2022 06:03
shopee,271225345,Asahi Super Dry 350ML x 24 Cans,350,67,65,2.00,60,221,2,https://shopee.sg/--i.271225345.8765431010,17-JUN-2022 06:06,02-MAR-2022 06:03
