Platform,Vendor,Product Name,Volume (mL),Current ($SGD),Previous ($SGD),Change ($SGD),Reviews,Sold,Stock,Product URL,Last Checked,Last Change
shopee,91799978,Carlsberg Danish Pilsner Beer 320ml Can Silver,320,51.9,43.8,8.10,59891,212481,3235,https://shopee.sg/--i.91799978.6302776311,26-DEC-2022 06:12,12-DEC-2022 06:12
shopee,91799978,Tiger Lager Beer Can 320ml,320,51.3,43.8,7.50,31288,108065,211,https://shopee.sg/--i.91799978.6503358776,26-DEC-2022 06:12,05-DEC-2022 19:12
shopee,91799978,Heineken Lager Beer Can 320ml,320,59.9,58.9,1.00,6432,18343,312,https://shopee.sg/--i.91799978.6602805329,17-OCT-2022 07:10,10-SEP-2022 07:09
shopee,91799978,Carlsberg Smooth Draught Beer 320ml Can,320,53.9,47.9,6.00,6037,16666,392,https://shopee.sg/--i.91799978.6438381229,26-DEC-2022 06:12,12-DEC-2022 06:12
lazada,RedMart,Carlsberg Danish Pilsner Beer 320ML 24s Can Silver,320,44.31,43.9,0.41,6037,,,https://www.lazada.sg/products/-i301176137-s1000008313.html,01-JAN-2023 06:01,31-DEC-2022 05:12
shopee,91799978,Kronenbourg 1664 Blanc Wheat Beer 320ml Can,320,72.9,66.9,6.00,4857,12224,117,https://shopee.sg/--i.91799978.3902874397,15-DEC-2022 06:12,28-SEP-2022 07:09
shopee,91799978,Tiger Crystal Beer Can 320ml,320,53.9,43.8,10.10,4684,11826,18,https://shopee.sg/--i.91799978.4111461321,16-DEC-2022 06:12,03-DEC-2022 06:12
shopee,91799978,Anchor Strong Beer 490ml,490,94.8,90,4.80,4066,11951,190,https://shopee.sg/--i.91799978.4714216766,16-DEC-2022 06:12,11-NOV-2022 06:11
shopee,70790444,Sapporo Premium Can Japanese Beer 330ml x 24cans,330,59.5,61.9,-2.40,3354,9679,174,https://shopee.sg/--i.70790444.1226201126,25-OCT-2022 07:10,30-AUG-2022 07:08
shopee,91799978,Guinness Foreign Extra Stout Can 320ml,320,75.8,73.8,2.00,2648,8024,320,https://shopee.sg/--i.91799978.4002802589,26-DEC-2022 06:12,25-NOV-2022 06:11
shopee,91799978,Tiger Lager Beer 320ml Can Limited Edition 90th Anniversary,320,42.8,44.8,-2.00,1564,7905,88,https://shopee.sg/--i.91799978.17779577566,14-OCT-2022 07:10,11-OCT-2022 07:10
shopee,91799978,Anchor Smooth Pilsener Beer Can 320Ml,320,39.8,,,1534,6449,262,https://shopee.sg/--i.91799978.5503364930,26-DEC-2022 06:12,
shopee,339848255,Heineken 24cans x 320ml,320,59.9,,,1047,3848,44,https://shopee.sg/--i.339848255.5563262190,09-OCT-2022 07:10,
lazada,RedMart,Carlsberg Smooth Draught Beer 320ML 24s Can,320,54.39,48.9,5.49,871,,,https://www.lazada.sg/products/-i846616756-s1000008313.html,01-JAN-2023 06:01,29-DEC-2022 05:12
lazada,RedMart,Carlsberg Danish Pilsner Beer Can 320ML Green Tab,320,54.39,48.9,5.49,790,,,https://www.lazada.sg/products/-i510152297-s1000008313.html,01-JAN-2023 06:01,30-DEC-2022 06:12
shopee,280687244,Carlsberg Beer Can 24 x 320ml,320,47.99,49.99,-2.00,773,4486,7,https://shopee.sg/--i.280687244.5154579391,25-OCT-2022 07:10,23-OCT-2022 07:10
shopee,91799978,Edelweiss Weissbier Wheat Beer Can 330Ml,330,59.7,62.9,-3.20,721,1826,96,https://shopee.sg/--i.91799978.9319065164,15-DEC-2022 06:12,08-JUL-2022 07:07
qoo10,Carlsberg Beer Official Store,Carlsberg Smooth Draught Beer Can 320ml,320,50.95,,,536,406,,https://www.qoo10.sg/item/CARLSBERG-SMOOTH-DRAUGHT-BEER-CAN-320ML-PACK-OF-24-CANS/651346755,30-APR-2022 06:04,
qoo10,NEW GEN MART,First 300 Sets Carlsberg Danish Pilsner Beer 24Cans x 320ML Green Tab 24Cans x 500ML Silver Tab,320,46.9,45.9,1.00,416,944,,https://www.qoo10.sg/item/CARLSBERG-FIRST-300-SETS-CARLSBERG-DANISH-PILSNER-BEER-24CANS-X-320ML-GREEN/677579168,10-JUN-2022 06:06,07-JUN-2022 06:06
