Platform,Vendor,Product Name,Volume (mL),Current ($SGD),Previous ($SGD),Change ($SGD),Reviews,Sold,Stock,Product URL,Last Checked,Last Change
shopee,91799978,Carlsberg Danish Pilsner Beer 320ml Can Silver,320,44.9,51.9,-7.00,58021,204331,3592,https://shopee.sg/--i.91799978.6302776311,23-OCT-2022 07:10,17-OCT-2022 07:10
shopee,91799978,Tiger Lager Beer Can 320ml,320,42.8,43.8,-1.00,28942,96800,51,https://shopee.sg/--i.91799978.6503358776,26-JUN-2022 08:06,17-JUN-2022 06:06
shopee,91799978,Heineken Lager Beer Can 320ml,320,59.9,58.9,1.00,6458,18464,351,https://shopee.sg/--i.91799978.6602805329,23-OCT-2022 07:10,21-SEP-2022 07:09
shopee,91799978,Carlsberg Smooth Draught Beer 320ml Can,320,49.9,47.9,2.00,5425,14383,2577,https://shopee.sg/--i.91799978.6438381229,27-JUN-2022 06:06,18-JUN-2022 06:06
shopee,91799978,Kronenbourg 1664 Blanc Wheat Beer 320ml Can,320,64.9,72.9,-8.00,4707,11765,19,https://shopee.sg/--i.91799978.3902874397,23-OCT-2022 07:10,21-OCT-2022 07:10
shopee,91799978,Anchor Strong Beer 490ml,490,90,89,1.00,3865,11038,417,https://shopee.sg/--i.91799978.4714216766,23-OCT-2022 07:10,22-OCT-2022 07:10
shopee,70790444,Sapporo Premium Can Japanese Beer 330ml x 24cans,330,61.9,53,8.90,3337,9606,53,https://shopee.sg/--i.70790444.1226201126,11-OCT-2022 07:10,26-SEP-2022 07:09
shopee,91799978,Asahi Super Dry Beer 350ml Can,350,71.9,75.9,-4.00,2405,6700,140,https://shopee.sg/--i.91799978.3202940988,23-OCT-2022 07:10,21-OCT-2022 07:10
shopee,91799978,Guinness Foreign Extra Stout Can 320ml,320,75.8,74.8,1.00,2284,6667,280,https://shopee.sg/--i.91799978.4002802589,23-OCT-2022 07:10,23-SEP-2022 07:09
shopee,91799978,Anchor Smooth Pilsener Beer Can 320Ml,320,39.8,43.2,-3.40,1291,5143,194,https://shopee.sg/--i.91799978.5503364930,23-OCT-2022 07:10,20-MAY-2022 06:05
shopee,91799978,Danish Royal Stout Beer 320ml Can,320,62.9,59.9,3.00,1249,2611,57,https://shopee.sg/--i.91799978.7164708311,20-OCT-2022 07:10,18-OCT-2022 07:10
shopee,280687244,Guinness Draught 24 x 440ml,440,98.99,102.99,-4.00,1147,3645,78,https://shopee.sg/--i.280687244.3164991182,23-OCT-2022 07:10,12-JUL-2022 07:07
shopee,91799978,Sapporo Premium Draft Beer Can 330ml,330,59,61.9,-2.90,1097,2772,15,https://shopee.sg/--i.91799978.2727236101,20-JUN-2022 06:06,21-APR-2022 06:04
shopee,339848255,Heineken 24cans x 320ml,320,59.9,,,1040,3826,56,https://shopee.sg/--i.339848255.5563262190,29-SEP-2022 07:09,
lazada,Kingsman Wine & Spirits Pte Ltd,Guinness Draught 24x440ml,440,98.99,102.99,-4.00,718,,,https://www.lazada.sg/products/-i378224239-s1000007242.html,23-OCT-2022 07:10,13-OCT-2022 07:10
shopee,91799978,Guinness Draught Can 440ml,440,107.6,106.7,0.90,705,1652,107,https://shopee.sg/--i.91799978.3202961235,23-OCT-2022 07:10,17-OCT-2022 07:10
shopee,91799978,Heineken 0.0% Zero Alcohol Beer Can 330Ml,330,31.6,,,535,1589,119,https://shopee.sg/--i.91799978.5232592439,21-OCT-2022 07:10,
lazada,RedMart,Guinness Draught Stout Can 24x440ml,440,108,109,-1.00,474,,,https://www.lazada.sg/products/-i303964989-s1000008313.html,23-OCT-2022 07:10,18-OCT-2022 07:10
shopee,91799978,Kronenbourg 1664 Blanc Wheat Beer 320ml Can with Amazin Grace,320,77.4,,,445,1256,9,https://shopee.sg/--i.91799978.14530751698,14-AUG-2022 07:08,
shopee,91799978,Edelweiss Weissbier Wheat Beer Can 330Ml,330,52.9,56.71,-3.81,431,1020,174,https://shopee.sg/--i.91799978.9319065164,27-JUN-2022 06:06,08-JUN-2022 06:06
shopee,91799978,Kronenbourg 1664 Lager Beer 330ml Can,330,72.9,77.86,-4.96,378,901,19,https://shopee.sg/--i.91799978.3902875585,21-OCT-2022 07:10,29-SEP-2022 07:09
lazada,KingsBar,Guinness Draught 440ml x 24 cans,440,95.99,84.99,11.00,367,,,https://www.lazada.sg/products/-i160669264-s100021150.html,17-OCT-2022 07:10,10-JUL-2022 07:07
shopee,211244014,Guinness Draught,440,107.6,99.99,7.61,348,1161,198,https://shopee.sg/--i.211244014.5053597789,23-OCT-2022 07:10,10-OCT-2022 07:10
shopee,354222576,Guinness Stout Can 24x320ml,320,84,78.5,5.50,334,1201,23,https://shopee.sg/--i.354222576.11049052242,23-OCT-2022 07:10,20-SEP-2022 07:09
shopee,255772543,Guinness Stout Can,320,80,75.2,4.80,291,993,289,https://shopee.sg/--i.255772543.4034789486,23-OCT-2022 07:10,22-OCT-2022 07:10
lazada,Kingsman Wine & Spirits Pte Ltd,Guinness Foreign Extra Stout Can 24 x 320ml,320,81.99,81,0.99,276,,,https://www.lazada.sg/products/-i748968255-s1000007242.html,23-OCT-2022 07:10,09-SEP-2022 07:09
shopee,211244014,Heineken Lager Beer,500,84.5,81.5,3.00,267,1347,81,https://shopee.sg/--i.211244014.5834841101,23-OCT-2022 07:10,05-SEP-2022 07:09
shopee,91799978,Tuborg Strong Beer 490ml Can,490,93.55,82.9,10.65,254,719,27,https://shopee.sg/--i.91799978.7179748110,21-OCT-2022 07:10,05-OCT-2022 07:10
shopee,354222576,Guinness Draught 440ml x 24 cans,440,84.99,75,9.99,240,794,2,https://shopee.sg/--i.354222576.7271442336,20-JUN-2022 06:06,10-JUN-2022 06:06
shopee,280687244,Guinness Foreign Extra Stout Can 24 x 320ml,320,81.99,81,0.99,240,690,28,https://shopee.sg/--i.280687244.5154678962,23-OCT-2022 07:10,09-SEP-2022 07:09
