Platform,Vendor,Product Name,Volume (mL),Current ($SGD),Previous ($SGD),Change ($SGD),Reviews,Sold,Stock,Product URL,Last Checked,Last Change
shopee,91799978,Carlsberg Danish Pilsner Beer 320ml Can Silver,320,43.9,44.9,-1.00,56262,195925,51,https://shopee.sg/--i.91799978.6302776311,31-AUG-2022 07:08,10-AUG-2022 07:08
shopee,91799978,Tiger Lager Beer Can 320ml,320,43.8,44.8,-1.00,29474,98975,2304,https://shopee.sg/--i.91799978.6503358776,17-JUL-2022 07:07,30-JUN-2022 07:06
shopee,91799978,Heineken Lager Beer Can 320ml,320,59.9,58.9,1.00,6152,17190,358,https://shopee.sg/--i.91799978.6602805329,02-SEP-2022 07:09,20-AUG-2022 07:08
shopee,91799978,Carlsberg Smooth Draught Beer 320ml Can,320,48.9,49.9,-1.00,5675,15268,1718,https://shopee.sg/--i.91799978.6438381229,02-SEP-2022 07:09,22-AUG-2022 07:08
shopee,91799978,Kronenbourg 1664 Blanc Wheat Beer 320ml Can,320,66.9,68.9,-2.00,4574,11360,496,https://shopee.sg/--i.91799978.3902874397,02-SEP-2022 07:09,26-AUG-2022 07:08
shopee,91799978,Anchor Strong Beer 490ml,490,94.8,90,4.80,3658,10051,252,https://shopee.sg/--i.91799978.4714216766,02-SEP-2022 07:09,26-AUG-2022 07:08
shopee,70790444,Sapporo Premium Can Japanese Beer 330ml x 24cans,330,61.9,53,8.90,3201,9170,136,https://shopee.sg/--i.70790444.1226201126,02-SEP-2022 07:09,29-AUG-2022 07:08
lazada,RedMart,Heineken Lager Beer Can 24x320ml,320,58.6,61.95,-3.35,2600,,,https://www.lazada.sg/products/-i301144493-s1000008313.html,01-SEP-2022 07:09,31-AUG-2022 07:08
shopee,91799978,Guinness Foreign Extra Stout Can 320ml,320,75.8,74.8,1.00,2018,5563,297,https://shopee.sg/--i.91799978.4002802589,02-SEP-2022 07:09,21-AUG-2022 07:08
shopee,91799978,Anchor Smooth Pilsener Beer Can 320Ml,320,39.8,43.2,-3.40,1118,4316,160,https://shopee.sg/--i.91799978.5503364930,02-SEP-2022 07:09,08-JUN-2022 06:06
shopee,91799978,Sapporo Premium Draft Beer Can 330ml,330,59,61.9,-2.90,1097,2772,15,https://shopee.sg/--i.91799978.2727236101,20-JUN-2022 06:06,21-APR-2022 06:04
shopee,280687244,Heineken SLIM Can 24 x 320ml,320,62.99,59.99,3.00,1044,4381,16,https://shopee.sg/--i.280687244.3661336479,02-SEP-2022 07:09,14-AUG-2022 07:08
shopee,339848255,Heineken 24cans x 320ml,320,59.9,54.9,5.00,978,3614,10,https://shopee.sg/--i.339848255.5563262190,01-SEP-2022 07:09,08-AUG-2022 07:08
shopee,91799978,Kirin Ichiban Lager Beer Can 350ml,350,65.9,72.9,-7.00,940,2235,19,https://shopee.sg/--i.91799978.6005942424,24-JUN-2022 06:06,30-MAY-2022 06:05
shopee,280687244,Heineken Beer Pint Bottle 24 x 325ml,325,68.99,67.07,1.92,922,3358,62,https://shopee.sg/--i.280687244.3654662367,02-SEP-2022 07:09,08-AUG-2022 07:08
shopee,91799978,Tiger Lager Beer 320ml Can Limited Edition 90th Anniversary,320,42.8,43.8,-1.00,752,3701,80,https://shopee.sg/--i.91799978.17779577566,30-AUG-2022 07:08,23-AUG-2022 07:08
lazada,Kingsman Wine & Spirits Pte Ltd,Heineken Pint 24 x 325ml,325,68.3,68.99,-0.69,708,,,https://www.lazada.sg/products/-i355036309-s1000007242.html,02-SEP-2022 07:09,22-AUG-2022 07:08
shopee,91799978,Guinness Draught Can 440ml,440,107.6,110.8,-3.20,642,1429,27,https://shopee.sg/--i.91799978.3202961235,02-SEP-2022 07:09,19-AUG-2022 07:08
shopee,91799978,Edelweiss Weissbier Wheat Beer Can 330Ml,330,59.7,62.9,-3.20,591,1457,122,https://shopee.sg/--i.91799978.9319065164,02-SEP-2022 07:09,02-JUL-2022 07:07
shopee,339848255,Heineken Lager Beer Bottle 24 x 325ml,325,66.5,64.9,1.60,569,3155,17,https://shopee.sg/--i.339848255.5496513872,12-AUG-2022 07:08,08-JUN-2022 06:06
lazada,Kingsman Wine & Spirits Pte Ltd,Heineken SLIM Can 24 x 320ml,320,62.99,60.99,2.00,533,,,https://www.lazada.sg/products/-i749108197-s1000007242.html,01-SEP-2022 07:09,10-AUG-2022 07:08
shopee,91799978,Heineken 0.0% Zero Alcohol Beer Can 330Ml,330,31.6,30.6,1.00,527,1551,172,https://shopee.sg/--i.91799978.5232592439,02-SEP-2022 07:09,18-AUG-2022 07:08
shopee,70701058,Heineken Can 24x500ml,500,88,82,6.00,507,1705,45,https://shopee.sg/--i.70701058.7532783322,02-SEP-2022 07:09,25-AUG-2022 07:08
lazada,Laz Mama Shop,Heineken Lager Beer Can 24x320ml,320,74.5,58.6,15.90,504,,,https://www.lazada.sg/products/-i2181095896-s1148898008.html,02-SEP-2022 07:09,01-SEP-2022 07:09
shopee,91799978,Kronenbourg 1664 Blanc Wheat Beer 320ml Can with Amazin Grace,320,77.4,64.9,12.50,447,1261,1,https://shopee.sg/--i.91799978.14530751698,16-AUG-2022 07:08,17-JUN-2022 06:06
shopee,91799978,Kingfisher Premium Extra Strong Lager Beer Can 490ml,490,92.4,91.2,1.20,377,1028,32,https://shopee.sg/--i.91799978.7639494666,23-JUL-2022 07:07,14-JAN-2022 06:01
shopee,91799978,Kronenbourg 1664 Lager Beer 330ml Can,330,67.9,64.9,3.00,367,876,69,https://shopee.sg/--i.91799978.3902875585,09-JUL-2022 07:07,05-JUL-2022 07:07
shopee,354222576,Guinness Stout Can 24x320ml,320,78.5,78,0.50,323,1154,47,https://shopee.sg/--i.354222576.11049052242,01-SEP-2022 07:09,09-AUG-2022 07:08
