Platform,Vendor,Product Name,Volume (mL),Current ($SGD),Previous ($SGD),Change ($SGD),Reviews,Sold,Stock,Product URL,Last Checked,Last Change
shopee,91799978,Carlsberg Danish Pilsner Beer 320ml Can Silver,320,51.9,44.9,7.00,56734,198311,4260,https://shopee.sg/--i.91799978.6302776311,13-SEP-2022 07:09,11-SEP-2022 07:09
shopee,91799978,Tiger Lager Beer Can 320ml,320,42.8,44.8,-2.00,30184,102382,2578,https://shopee.sg/--i.91799978.6503358776,19-OCT-2022 07:10,13-OCT-2022 07:10
lazada,RedMart,Tiger Lager Beer Can 24x320ml,320,44.95,43.95,1.00,6521,,,https://www.lazada.sg/products/-i301112710-s1000008313.html,19-OCT-2022 07:10,15-OCT-2022 07:10
shopee,91799978,Heineken Lager Beer Can 320ml,320,58.9,59.9,-1.00,6185,17367,43,https://shopee.sg/--i.91799978.6602805329,10-SEP-2022 07:09,22-AUG-2022 07:08
shopee,91799978,Tiger Crystal Beer Can 320ml,320,44.8,41.95,2.85,4558,11371,536,https://shopee.sg/--i.91799978.4111461321,01-AUG-2022 07:08,14-JUL-2022 07:07
shopee,91799978,Kronenbourg 1664 Blanc Wheat Beer 320ml Can,320,68.9,65.9,3.00,4554,11304,446,https://shopee.sg/--i.91799978.3902874397,26-AUG-2022 07:08,21-AUG-2022 07:08
shopee,91799978,Anchor Strong Beer 490ml,490,89,90,-1.00,3585,9802,35,https://shopee.sg/--i.91799978.4714216766,21-AUG-2022 07:08,17-JUN-2022 06:06
shopee,91799978,Guinness Foreign Extra Stout Can 320ml,320,75.8,74.8,1.00,1983,5451,218,https://shopee.sg/--i.91799978.4002802589,26-AUG-2022 07:08,21-AUG-2022 07:08
shopee,91799978,Tiger Lager Beer 320ml Can Limited Edition 90th Anniversary,320,42.8,44.8,-2.00,1564,7905,88,https://shopee.sg/--i.91799978.17779577566,14-OCT-2022 07:10,11-OCT-2022 07:10
lazada,RedMart,Tiger Crystal Beer Can 24x320ml,320,44.8,43.8,1.00,1531,,,https://www.lazada.sg/products/-i506672314-s1000008313.html,19-OCT-2022 07:10,11-OCT-2022 07:10
lazada,Laz Mama Shop,Tiger Lager Beer Can 24x320ml,320,55.6,44.95,10.65,1255,,,https://www.lazada.sg/products/-i2181249062-s1148898008.html,19-OCT-2022 07:10,18-OCT-2022 07:10
shopee,91799978,Tiger Radler Lemon Beer Can 330ml,330,31.6,33.6,-2.00,1016,2208,41,https://shopee.sg/--i.91799978.6903362328,19-OCT-2022 07:10,01-JUL-2022 07:07
shopee,280687244,Tiger Beer Can 24 x 320ml,320,47.99,39.99,8.00,757,3900,171,https://shopee.sg/--i.280687244.3854731732,19-OCT-2022 07:10,10-OCT-2022 07:10
lazada,Kingsman Wine & Spirits Pte Ltd,Tiger Beer Can 24 x 320ml,320,47.99,47,0.99,506,,,https://www.lazada.sg/products/-i750736372-s1000007242.html,19-OCT-2022 07:10,09-SEP-2022 07:09
shopee,91799978,Tiger Radler Grapefruit Beer Can 330ml,330,31.6,33.6,-2.00,319,718,37,https://shopee.sg/--i.91799978.3603457241,19-OCT-2022 07:10,01-JUL-2022 07:07
shopee,91799978,Tiger Crystal Beer 320ml Can Limited Edition 90th Anniversary,320,42.8,44.8,-2.00,271,949,271,https://shopee.sg/--i.91799978.18324870545,19-OCT-2022 07:10,11-OCT-2022 07:10
lazada,Laz Mama Shop,Tiger Crystal Beer Can 24x320ml,320,44.05,55.6,-11.55,237,,,https://www.lazada.sg/products/-i2180818857-s1148898008.html,19-OCT-2022 07:10,18-OCT-2022 07:10
shopee,91799978,Leo Lager Beer Can 320Ml,320,45,,,105,462,4,https://shopee.sg/--i.91799978.11464970178,09-JUN-2022 06:06,
shopee,91799978,DA Tiger Crystal Beer Can 490ml,490,64.9,105.8,-40.90,77,169,21,https://shopee.sg/--i.91799978.4628167367,02-MAY-2022 06:05,23-APR-2022 06:04
